город,население_приблизительно
Саратов,886000
Тюмень,872000
Тольятти,663000
Махачкала,625000
Барнаул,621000
Ижевск,616000
Хабаровск,616000
Ульяновск,612000
Иркутск,606000
Владивосток,594000
Ярославль,564000
Ставрополь,563000
Томск,545000
Кемерово,545000
Набережные Челны,544000
Оренбург,537000
Новокузнецк,531000
Балашиха,530000
Рязань,521000
Чебоксары,497000
Калининград,489000
Пенза,488000
Липецк,483000
Киров,476000
Астрахань,466000
Тула,457000
Сочи,445000
Улан-Удэ,435000
Курск,435000
Сургут,433000
Тверь,413000
Магнитогорск,408000
Иваново,398000
Брянск,390000
Белгород,357000
Владимир,349000
Архангельск,349000
Калуга,338000
Чита,334000
Смоленск,327000
Саранск,315000
Череповец,312000
Вологда,311000
Курган,306000
Орёл,303000
Владикавказ,296000
Тамбов,280000
Стерлитамак,274000
Грозный,272000
Мурманск,270000
Якутск,270000
Кострома,269000
Комсомольск-на-Амуре,264000
Петрозаводск,263000
Таганрог,258000
Нижневартовск,252000
Йошкар-Ола,249000
Братск,246000
Новороссийск,242000
Дзержинск,241000
Шахты,240000
Нальчик,240000
Орск,238000
Сыктывкар,235000
Нижнекамск,234000
Ангарск,234000
Старый Оскол,221000
Великий Новгород,219000
Благовещенск,214000
Прокопьевск,210000
Бийск,210000
Химки,207000
Псков,204000
Энгельс,203000
Рыбинск,201000
Балаково,200000
